Word,Frequency
free,181
available,11
reforming,2
innovation,4
top,41
excel,7
amazed,1
support,106
congratulations,27
work,162
wow,4
best,76
important,6
finest,7
enthusiastic,2
passion,2
effectively,4
like,104
beautiful,8
wise,1
right,38
clear,2
regard,1
wonderful,5
guidance,1
favour,63
proud,10
skilled,5
proper,7
fantastic,2
happy,74
phenomenal,58
tough,1
advanced,6
amazing,1
greatest,6
excited,60
love,23
supporting,15
well,17
great,25
safe,7
excellent,14
celebrate,1
master,4
enjoying,1
success,7
good,11
enhances,1
reform,4
skill,2
awarded,4
excellence,3
better,21
thank,38
fair,4
significant,4
reforms,9
ambitious,4
improve,8
willing,2
delighted,3
reconciliation,3
pleased,3
congratulate,2
positively,3
lovely,3
incredibly,2
commitment,10
ready,2
subsidizes,4
nice,1
winner,2
confidence,6
wonder,5
solidarity,5
hopeful,1
cool,1
helped,22
honored,8
awesome,1
enough,12
award,6
unconditional,6
clean,1
accessible,5
honor,2
pleasure,2
exciting,4
easier,2
favor,2
interests,2
decent,8
win,2
leading,8
illuminating,2
unlimited,1
educated,3
noble,1
foremost,2
saint,4
hail,1
favorite,1
distinguished,2
welcome,3
respect,5
thankful,3
proactive,1
succeed,2
sustainable,2
powerful,1
protect,16
super,1
trump,11
intelligence,4
encouraging,1
silent,1
advocate,2
blessing,3
gold,1
helping,1
prestigious,5
accolade,1
enjoy,1
strong,3
wins,2
achievements,3
worth,1
thrilled,2
fine,2
secure,2
warm,1
dedicated,1
masters,4
motivated,2
holy,1
progress,1
successful,4
supports,2
grateful,1
affordable,1
worthwhile,1
cornerstone,1
friendly,1
renowned,1
impressive,4
enthusiasm,2
wellbeing,1
pride,9
brilliant,2
rich,2
fun,7
creative,3
adequate,1
led,5
loves,1
stable,1
steady,1
golden,1
lead,2
premier,2
lover,1
wealthy,1
sharp,9
trust,3
joyful,1
properly,2
ovation,1
capable,1
extraordinary,2
groundbreaking,1
harmonize,1
kindly,5
equitable,8
gain,3
fresh,6
supported,1
innovative,3
champion,1
spacious,1
proven,1
eminent,3
recommend,1
leads,1
aspire,1
boost,1
faith,2
glory,1
meticulous,1
competitive,1
advantage,1
grand,1
elite,1
dynamic,2
luxury,4
clarity,1
afford,2
smart,1
privileged,1
encourage,6
empathy,1
superior,1
fascinating,1
worked,1
charitable,1
prominent,1
capability,1
healthy,1
successfully,2
promise,1
glad,1
solid,1
incredible,1
privilege,1
biased,3
contend,1
debt,21
limited,21
disappointing,1
failure,18
corrupt,15
strike,226
vice,84
wrong,4
sick,1
destruction,1
bastards,30
disillusioned,73
bumped,11
corruption,11
cons,1
poor,9
rip,1
fucking,3
expensive,5
filthy,1
squabble,1
stressful,4
weed,21
shit,21
crash,1
propaganda,11
shame,5
disturbing,3
attack,6
defiance,4
shock,1
abuses,8
overwhelmingly,2
shortage,1
objection,2
wedge,2
issue,4
illegally,2
inequality,5
nervous,1
bigotry,1
unfortunate,1
risk,3
worry,7
bloody,1
sever,1
frozen,14
implication,3
death,7
fell,7
denounce,2
insurmountable,1
miserly,1
inferior,1
hard,5
stupid,1
conservative,1
dishonest,1
fall,3
hurt,1
hell,2
poorest,1
struggle,3
debilitating,1
loneliness,1
problem,7
threat,6
reactionary,1
impossible,1
losses,1
fear,2
hate,1
critical,5
restricted,2
mistakes,1
garbage,1
nonsense,2
fails,1
falls,1
disadvantaged,1
indoctrination,3
killing,2
odd,1
lose,1
demon,20
poverty,2
dumb,1
crippled,1
destroy,1
bother,1
sink,1
dead,2
radical,10
disappointed,1
criticizing,1
waste,1
wasted,1
worries,1
offensive,1
shocking,2
loss,1
estranged,2
slowly,1
scam,6
disruptive,2
sour,1
indulge,5
crisis,1
protest,7
awful,2
undermining,2
attacks,1
genocide,5
mess,1
complain,1
reject,3
killed,1
hurts,1
despicable,8
unlikely,1
poison,1
jeopardy,4
difficult,1
utterly,1
appalled,1
bad,2
blame,1
allegations,2
nasty,4
violent,1
fascist,6
condemns,4
smell,1
struggling,1
defy,2
warning,3
lost,1
opposition,6
criticize,1
doubt,1
imprison,1
trouble,1
belittle,1
disruption,10
liars,1
spiteful,1
infuriate,1
negative,1
died,4
suicide,3
malign,1
angry,3
damning,1
cramped,1
breakdown,1
scandals,1
sue,1
unable,1
fail,2
break,1
concerns,1
shocked,2
unrealistic,1
instability,2
cry,1
impose,1
complaint,1
rape,4
assault,4
deficiency,1
fake,1
fuck,2
useless,1
ridiculous,4
lack,1
arrogance,1
failed,1
stab,1
unrest,1
restrictive,1
din,2
risks,1
worst,2
decline,1
rebellious,1
ultimatum,1
condemn,1
brutality,1
stole,1
spoils,1
ruined,1
hated,1
bankrupt,1
toxic,1
dying,1
desiccated,1
strange,1
fraud,1
slap,1
anxious,1
barbaric,1
losing,1
bogus,1
excuse,1
creep,1
breaking,1
lied,1
falling,1
scare,1
unreasonable,1
bored,1
incompetent,1
monster,1
